house;name;species;gender;extra
93;Poekie;cat;f;Can't poo,  magnificant
95;;stick insects;;many,  silent
97;Bob;Goldfish;m;
97;Macchia;Goldfish;;
97;;Goldfish;;
99;Sushi;cat;m;independent
99;Koçka;cat;f;diva
99;;Guppies;;many, funnz
99;;Chicken;f;happy,  secured by pellets
99;;Chicken;f;
99;;Chicken;f;
99;;Chicken;f;
99;;Chicken;m;
101;Joeppie;cat;m;disturbed
101;;rabbit;;
101;;rabbit;;
103;Baylies;cat;f;gestoord
103;Grolsch;cat;m;hyperactive
103;Siepie;cat;f;depressed
103;;Chicken;f;
103;;Chicken;f;
103;;Chicken;f;
103;;Chicken;f;
103;;Chicken;f;
103;;Chicken;m;
103;;rat;;
103;;mouse;;
105;Lassie;dog;;
105;Sally Brown;Chicken;f;
105;Alba;Chicken;f;
105;White Trash;Chicken;f;
105;;Chicken;f;
105;;Chicken;f;
105;;Chicken;f;
105;;Chicken;f;
105;;Chicken;f;
107;Arwin;cat;m;el presidente
49;Paprika;cat;f;crazy active orange froghunter
49;Plume;cat;f;half asleep hedge hog
53;Guido;cat;m;Tiger (lazy bastard?)
37;Pluk 2;cat;;
91;Poes;cat;m;Knuffel
91;Ponka;cat;m;Hunter
89;Faye;cat;;Spoiled Princess
89;;Chicken;f;
89;;Chicken;f;
89;;Chicken;f;
89;;Chicken;m;
89;;rat;;
89;;rat;;
69;Frutser;cat;;flamboyant
69;Dips;Chicken;f;
69;Flip;Chicken;f;
69;Big Mommy;Chicken;f;
69;;Chicken;f;
69;;Chicken;f;
69;;Chicken;f;
69;;Chicken;f;
69;;Chicken;f;
69;;Chicken;f;
69;Mandy;Chicken;m;gay
69;Dargo;Gerbil;;
69;Jeroene;Schildpad;;
69;GWN;Gerbil;;
69;;Degoes;;
69;;Degoes;;
69;Sam;Ferret;;
87;;Chicken;f;
87;;Chicken;f;
87;;Chicken;f;
87;;Chicken;f;
87;;Chicken;f;
87;;Chicken;baby;
87;;Chicken;baby;
