"house","name","species","gender","extra","mainspecies","House","mainspecies_n","long","lat","jitterlat","jitterlong","mscolor"
93,"Poekie","cat","Girls","Can't poo,  magnificant","cat","93",3,5.6728258,51.9883783,51.9883369093429,5.67296382093723,"#BEBADA"
95,NA,"stick insects","unknown","many,  silent","other","95",1,5.6731437,51.9884298,51.9884264554796,5.67329409383012,"#8DD3C7"
97,"Bob","goldfish","Boys",NA,"goldfish","97",5,5.6734272,51.9884753,51.9884890219966,5.67356218219424,"#80B1D3"
97,"Macchia","goldfish","unknown",NA,"goldfish","97",5,5.6734272,51.9884753,51.9884699300798,5.67328134077506,"#80B1D3"
97,NA,"goldfish","unknown",NA,"goldfish","97",5,5.6734272,51.9884753,51.9885133133798,5.67345832370297,"#80B1D3"
99,"Sushi","cat","Boys","independent","cat","99",3,5.6737248,51.9885166,51.9884724096164,5.67354735778067,"#BEBADA"
99,"Koçka","cat","Girls","diva","cat","99",3,5.6737248,51.9885166,51.9884938312211,5.67361021591597,"#BEBADA"
99,NA,"guppies","unknown","many, funnz","other","99",1,5.6737248,51.9885166,51.988563752162,5.6736344535378,"#8DD3C7"
99,NA,"chicken","Girls","happy,  secured by pellets","chicken","99",4,5.6737248,51.9885166,51.9884967211374,5.6737620879191,"#FB8072"
99,NA,"chicken","Girls",NA,"chicken","99",4,5.6737248,51.9885166,51.9885461316291,5.6737380168653,"#FB8072"
99,NA,"chicken","Girls",NA,"chicken","99",4,5.6737248,51.9885166,51.9884600573102,5.67362769078388,"#FB8072"
99,NA,"chicken","Girls",NA,"chicken","99",4,5.6737248,51.9885166,51.9885076548707,5.67374128863106,"#FB8072"
99,NA,"chicken","Boys",NA,"chicken","99",4,5.6737248,51.9885166,51.9885398793647,5.6737417482803,"#FB8072"
101,"Joeppie","cat","Boys","disturbed","cat","101",3,5.6740499,51.9885837,51.9886150653143,5.67404744551162,"#BEBADA"
101,NA,"rabbit","unknown",NA,"other","101",1,5.6740499,51.9885837,51.9885779863572,5.67408403291115,"#8DD3C7"
101,NA,"rabbit","unknown",NA,"other","101",1,5.6740499,51.9885837,51.9885664188181,5.67398716230083,"#8DD3C7"
103,"Baylies","cat","Girls","gestoord","cat","103",3,5.674395,51.9886289,51.988659328363,5.6742997390103,"#BEBADA"
103,"Grolsch","cat","Boys","hyperactive","cat","103",3,5.674395,51.9886289,51.9886624221206,5.67439048809847,"#BEBADA"
103,"Siepie","cat","Girls","depressed","cat","103",3,5.674395,51.9886289,51.9886244560677,5.67443637648473,"#BEBADA"
103,NA,"chicken","Girls",NA,"chicken","103",4,5.674395,51.9886289,51.9886534176472,5.67446446036739,"#FB8072"
103,NA,"chicken","Girls",NA,"chicken","103",4,5.674395,51.9886289,51.9886332300926,5.67426063327517,"#FB8072"
103,NA,"chicken","Girls",NA,"chicken","103",4,5.674395,51.9886289,51.9886505218926,5.6744365162906,"#FB8072"
103,NA,"chicken","Girls",NA,"chicken","103",4,5.674395,51.9886289,51.9886398223136,5.6745619473781,"#FB8072"
103,NA,"chicken","Girls",NA,"chicken","103",4,5.674395,51.9886289,51.9885784248374,5.67431829231609,"#FB8072"
103,NA,"chicken","Boys",NA,"chicken","103",4,5.674395,51.9886289,51.9886700273349,5.67421769528839,"#FB8072"
103,NA,"rat","unknown",NA,"rat","103",7,5.674395,51.9886289,51.9886054759325,5.67449910912291,"#B3DE69"
103,NA,"mouse","unknown",NA,"other","103",1,5.674395,51.9886289,51.9886693522708,5.67445441901604,"#8DD3C7"
105,"Lassie","dog","unknown",NA,"other","105",1,5.6746574,51.9886698,51.988663322991,5.67476984553431,"#8DD3C7"
105,"Sally Brown","chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9886280018923,5.67458363418875,"#FB8072"
105,"Alba","chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9886516161265,5.67471030382397,"#FB8072"
105,"White Trash","chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9886939827365,5.67454636832294,"#FB8072"
105,NA,"chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9886811065776,5.67474069551414,"#FB8072"
105,NA,"chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9886222776062,5.67447890773666,"#FB8072"
105,NA,"chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.98869228624,5.67449879412983,"#FB8072"
105,NA,"chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9887016660643,5.67483044551507,"#FB8072"
105,NA,"chicken","Girls",NA,"chicken","105",4,5.6746574,51.9886698,51.9886376372931,5.67471225209955,"#FB8072"
107,"Arwin","cat","Boys","el presidente","cat","107",3,5.6749209,51.988711,51.9887516506809,5.67497372221156,"#BEBADA"
49,"Paprika","cat","Girls","crazy active orange froghunter","cat","49",3,5.6734529,51.9888811,51.988898068065,5.67348087556626,"#BEBADA"
49,"Plume","cat","Girls","half asleep hedge hog","cat","49",3,5.6734529,51.9888811,51.9889347664484,5.67339238352864,"#BEBADA"
53,"Guido","cat","Boys","Tiger (lazy bastard?)","cat","53",3,5.6732851,51.9895131,51.9895497129428,5.67310727028042,"#BEBADA"
37,"Pluk 2","cat","unknown",NA,"cat","37",3,5.674701,51.989025,51.988994900314,5.67456373336507,"#BEBADA"
91,"Poes","cat","Boys","Knuffel","cat","91",3,5.6724839,51.9883305,51.9883364603737,5.6724608887205,"#BEBADA"
91,"Ponka","cat","Boys","Hunter","cat","91",3,5.6724839,51.9883305,51.9883068697881,5.67254039347274,"#BEBADA"
89,"Faye","cat","unknown","Spoiled Princess","cat","89",3,5.6721538,51.9882694,51.9882951322634,5.6723070620966,"#BEBADA"
89,NA,"chicken","Girls",NA,"chicken","89",4,5.6721538,51.9882694,51.9882397168515,5.67220429943054,"#FB8072"
89,NA,"chicken","Girls",NA,"chicken","89",4,5.6721538,51.9882694,51.9882516539741,5.67224283836202,"#FB8072"
89,NA,"chicken","Girls",NA,"chicken","89",4,5.6721538,51.9882694,51.98827904811,5.6719996063438,"#FB8072"
89,NA,"chicken","Boys",NA,"chicken","89",4,5.6721538,51.9882694,51.9882760992314,5.67213543568903,"#FB8072"
89,NA,"rat","unknown",NA,"rat","89",7,5.6721538,51.9882694,51.9882795115333,5.67199019302716,"#B3DE69"
89,NA,"rat","unknown",NA,"rat","89",7,5.6721538,51.9882694,51.9883037808665,5.6720030990997,"#B3DE69"
69,"Frutser","cat","unknown","flamboyant","cat","69",3,5.6720329,51.9889619,51.988962797701,5.67193286792071,"#BEBADA"
69,"Dips","chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889429452463,5.6720765590265,"#FB8072"
69,"Flip","chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889195359252,5.67217330605538,"#FB8072"
69,"Big Mommy","chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889729803925,5.67186136737964,"#FB8072"
69,NA,"chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889603044409,5.67209748383212,"#FB8072"
69,NA,"chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889884077312,5.67188920038238,"#FB8072"
69,NA,"chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889683602898,5.67196899419202,"#FB8072"
69,NA,"chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9889235229178,5.67218292000101,"#FB8072"
69,NA,"chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.988942665916,5.6721954697518,"#FB8072"
69,NA,"chicken","Girls",NA,"chicken","69",4,5.6720329,51.9889619,51.9890028390274,5.67190793842129,"#FB8072"
69,"Mandy","chicken","Boys","gay","chicken","69",4,5.6720329,51.9889619,51.9890130528066,5.67208634811132,"#FB8072"
69,"Dargo","gerbil","unknown",NA,"other","69",1,5.6720329,51.9889619,51.9889037187045,5.67212510837961,"#8DD3C7"
69,"Jeroene","schildpad","unknown",NA,"other","69",1,5.6720329,51.9889619,51.9889096283634,5.67207241637027,"#8DD3C7"
69,"GWN","gerbil","unknown",NA,"other","69",1,5.6720329,51.9889619,51.9889521580633,5.67191256246313,"#8DD3C7"
69,NA,"degoes","unknown",NA,"other","69",1,5.6720329,51.9889619,51.9889633184631,5.67189767408332,"#8DD3C7"
69,NA,"degoes","unknown",NA,"other","69",1,5.6720329,51.9889619,51.9889710841725,5.67218083066404,"#8DD3C7"
69,"Sam","ferret","unknown",NA,"other","69",1,5.6720329,51.9889619,51.9889271498624,5.67200608464396,"#8DD3C7"
87,NA,"chicken","Girls",NA,"chicken","87",4,5.6719019,51.9882313,51.9882173920018,5.67196728565738,"#FB8072"
87,NA,"chicken","Girls",NA,"chicken","87",4,5.6719019,51.9882313,51.9882769248223,5.67189851696631,"#FB8072"
87,NA,"chicken","Girls",NA,"chicken","87",4,5.6719019,51.9882313,51.9882345079686,5.67184543551858,"#FB8072"
87,NA,"chicken","Girls",NA,"chicken","87",4,5.6719019,51.9882313,51.988213750372,5.67176195794741,"#FB8072"
87,NA,"chicken","Girls",NA,"chicken","87",4,5.6719019,51.9882313,51.9882556054017,5.67184937791564,"#FB8072"
87,NA,"chicken","Bibili",NA,"chicken","87",4,5.6719019,51.9882313,51.9882251098774,5.67206859783057,"#FB8072"
87,NA,"chicken","Bibili",NA,"chicken","87",4,5.6719019,51.9882313,51.9882334381154,5.67201277271997,"#FB8072"
87,NA,"chicken","Boys",NA,"chicken","87",4,5.6719019,51.9882313,51.9882893678702,5.67173094616305,"#FB8072"
31,NA,"chicken","Boys",NA,"chicken","31",4,5.6723847,51.9885888,51.9885686555392,5.67224967810245,"#FB8072"
31,NA,"chicken","Girls",NA,"chicken","31",4,5.6723847,51.9885888,51.9885807788473,5.6722357063275,"#FB8072"
31,NA,"chicken","Girls",NA,"chicken","31",4,5.6723847,51.9885888,51.9885549764589,5.67229587521801,"#FB8072"
